model,precision,recall
SVM_RBF,0.4638036809815951,1.0
SVM_RBF,0.4643734643734644,1.0
SVM_RBF,0.46494464944649444,1.0
SVM_RBF,0.46551724137931033,1.0
SVM_RBF,0.46609124537607893,1.0
SVM_RBF,0.4666666666666667,1.0
SVM_RBF,0.4672435105067985,1.0
SVM_RBF,0.46782178217821785,1.0
SVM_RBF,0.4684014869888476,1.0
SVM_RBF,0.46898263027295284,1.0
SVM_RBF,0.46956521739130436,1.0
SVM_RBF,0.4701492537313433,1.0
SVM_RBF,0.47073474470734744,1.0
SVM_RBF,0.4713216957605985,1.0
SVM_RBF,0.47191011235955055,1.0
SVM_RBF,0.4725,1.0
SVM_RBF,0.47309136420525655,1.0
SVM_RBF,0.47368421052631576,1.0
SVM_RBF,0.4742785445420326,1.0
SVM_RBF,0.4748743718592965,1.0
SVM_RBF,0.47547169811320755,1.0
SVM_RBF,0.4760705289672544,1.0
SVM_RBF,0.4766708701134931,1.0
SVM_RBF,0.4772727272727273,1.0
SVM_RBF,0.4778761061946903,1.0
SVM_RBF,0.47848101265822784,1.0
SVM_RBF,0.4790874524714829,1.0
SVM_RBF,0.4796954314720812,1.0
SVM_RBF,0.48030495552731894,1.0
SVM_RBF,0.48091603053435117,1.0
SVM_RBF,0.48152866242038217,1.0
SVM_RBF,0.48214285714285715,1.0
SVM_RBF,0.4827586206896552,1.0
SVM_RBF,0.4833759590792839,1.0
SVM_RBF,0.4839948783610755,1.0
SVM_RBF,0.4846153846153846,1.0
SVM_RBF,0.4852374839537869,1.0
SVM_RBF,0.48586118251928023,1.0
SVM_RBF,0.4864864864864865,1.0
SVM_RBF,0.48711340206185566,1.0
SVM_RBF,0.48774193548387096,1.0
SVM_RBF,0.4883720930232558,1.0
SVM_RBF,0.4890038809831824,1.0
SVM_RBF,0.4896373056994819,1.0
SVM_RBF,0.490272373540856,1.0
SVM_RBF,0.4909090909090909,1.0
SVM_RBF,0.49154746423927176,1.0
SVM_RBF,0.4921875,1.0
SVM_RBF,0.49282920469361147,1.0
SVM_RBF,0.4934725848563969,1.0
SVM_RBF,0.49411764705882355,1.0
SVM_RBF,0.49476439790575916,1.0
SVM_RBF,0.4954128440366973,1.0
SVM_RBF,0.49606299212598426,1.0
SVM_RBF,0.4967148488830486,1.0
SVM_RBF,0.49736842105263157,1.0
SVM_RBF,0.4980237154150198,1.0
SVM_RBF,0.49868073878627966,1.0
SVM_RBF,0.49933949801849403,1.0
SVM_RBF,0.5,1.0
SVM_RBF,0.5006622516556292,1.0
SVM_RBF,0.5013262599469496,1.0
SVM_RBF,0.50199203187251,1.0
SVM_RBF,0.5026595744680851,1.0
SVM_RBF,0.5033288948069241,1.0
SVM_RBF,0.504,1.0
SVM_RBF,0.5046728971962616,1.0
SVM_RBF,0.5053475935828877,1.0
SVM_RBF,0.5060240963855421,1.0
SVM_RBF,0.5067024128686327,1.0
SVM_RBF,0.5073825503355704,1.0
SVM_RBF,0.5080645161290323,1.0
SVM_RBF,0.5087483176312247,1.0
SVM_RBF,0.5094339622641509,1.0
SVM_RBF,0.5101214574898786,1.0
SVM_RBF,0.5108108108108108,1.0
SVM_RBF,0.5115020297699594,1.0
SVM_RBF,0.5121951219512195,1.0
SVM_RBF,0.5128900949796472,1.0
SVM_RBF,0.5135869565217391,1.0
SVM_RBF,0.5142857142857142,1.0
SVM_RBF,0.5149863760217984,1.0
SVM_RBF,0.5156889495225102,1.0
SVM_RBF,0.5163934426229508,1.0
SVM_RBF,0.5170998632010944,1.0
SVM_RBF,0.5178082191780822,1.0
SVM_RBF,0.5185185185185185,1.0
SVM_RBF,0.5192307692307693,1.0
SVM_RBF,0.5199449793672627,1.0
SVM_RBF,0.5206611570247934,1.0
SVM_RBF,0.5213793103448275,1.0
SVM_RBF,0.5220994475138122,1.0
SVM_RBF,0.5228215767634855,1.0
SVM_RBF,0.5235457063711911,1.0
SVM_RBF,0.5242718446601942,1.0
SVM_RBF,0.525,1.0
SVM_RBF,0.5257301808066759,1.0
SVM_RBF,0.5264623955431755,1.0
