model,fpr,tpr
MultinomialNB,0.0024096385542168677,0.5634920634920635
MultinomialNB,0.0024096385542168677,0.5873015873015873
MultinomialNB,0.0036144578313253013,0.5873015873015873
MultinomialNB,0.0036144578313253013,0.6005291005291006
MultinomialNB,0.004819277108433735,0.6005291005291006
MultinomialNB,0.004819277108433735,0.6772486772486772
MultinomialNB,0.006024096385542169,0.6772486772486772
MultinomialNB,0.006024096385542169,0.7592592592592593
MultinomialNB,0.006024096385542169,0.7671957671957672
MultinomialNB,0.006024096385542169,0.8544973544973545
MultinomialNB,0.007228915662650603,0.8544973544973545
MultinomialNB,0.007228915662650603,0.8624338624338624
MultinomialNB,0.008433734939759036,0.8624338624338624
MultinomialNB,0.008433734939759036,0.8756613756613757
MultinomialNB,0.00963855421686747,0.8756613756613757
MultinomialNB,0.00963855421686747,0.8835978835978836
MultinomialNB,0.012048192771084338,0.8835978835978836
MultinomialNB,0.012048192771084338,0.8862433862433863
MultinomialNB,0.01325301204819277,0.8862433862433863
MultinomialNB,0.01325301204819277,0.8915343915343915
MultinomialNB,0.01566265060240964,0.8915343915343915
MultinomialNB,0.01566265060240964,0.9047619047619048
MultinomialNB,0.018072289156626505,0.9047619047619048
MultinomialNB,0.018072289156626505,0.9074074074074074
MultinomialNB,0.020481927710843374,0.9074074074074074
MultinomialNB,0.020481927710843374,0.9153439153439153
MultinomialNB,0.02289156626506024,0.9153439153439153
MultinomialNB,0.02289156626506024,0.9259259259259259
MultinomialNB,0.024096385542168676,0.9259259259259259
MultinomialNB,0.024096385542168676,0.9391534391534392
MultinomialNB,0.02530120481927711,0.9391534391534392
MultinomialNB,0.02530120481927711,0.9444444444444444
MultinomialNB,0.027710843373493974,0.9444444444444444
MultinomialNB,0.027710843373493974,0.9470899470899471
MultinomialNB,0.030120481927710843,0.9470899470899471
MultinomialNB,0.030120481927710843,0.9497354497354498
MultinomialNB,0.03614457831325301,0.9497354497354498
MultinomialNB,0.03614457831325301,0.9523809523809523
MultinomialNB,0.03734939759036145,0.9523809523809523
MultinomialNB,0.03734939759036145,0.955026455026455
MultinomialNB,0.03855421686746988,0.955026455026455
MultinomialNB,0.03855421686746988,0.9735449735449735
MultinomialNB,0.043373493975903614,0.9735449735449735
MultinomialNB,0.043373493975903614,0.9788359788359788
MultinomialNB,0.04457831325301205,0.9788359788359788
MultinomialNB,0.04457831325301205,0.9841269841269841
MultinomialNB,0.05060240963855422,0.9841269841269841
MultinomialNB,0.05060240963855422,0.9867724867724867
MultinomialNB,0.056626506024096385,0.9867724867724867
MultinomialNB,0.056626506024096385,0.9894179894179894
MultinomialNB,0.06265060240963856,0.9894179894179894
MultinomialNB,0.06265060240963856,0.9920634920634921
MultinomialNB,0.06626506024096386,0.9920634920634921
MultinomialNB,0.06626506024096386,0.9947089947089947
MultinomialNB,0.07951807228915662,0.9947089947089947
MultinomialNB,0.07951807228915662,0.9973544973544973
MultinomialNB,0.0927710843373494,0.9973544973544973
MultinomialNB,0.0927710843373494,1.0
MultinomialNB,1.0,1.0
RandomForest,0.0,0.0
RandomForest,0.0,0.007936507936507936
RandomForest,0.0,0.031746031746031744
RandomForest,0.0,0.06084656084656084
RandomForest,0.0,0.12962962962962962
RandomForest,0.0,0.1746031746031746
RandomForest,0.0,0.21693121693121692
RandomForest,0.0,0.24338624338624337
RandomForest,0.0,0.2724867724867725
RandomForest,0.0,0.31216931216931215
RandomForest,0.0,0.38095238095238093
RandomForest,0.0,0.4021164021164021
RandomForest,0.0,0.4312169312169312
RandomForest,0.0,0.4576719576719577
RandomForest,0.0,0.48677248677248675
RandomForest,0.0,0.5026455026455027
RandomForest,0.0,0.5211640211640212
RandomForest,0.0,0.5423280423280423
RandomForest,0.0,0.5582010582010583
RandomForest,0.0,0.5634920634920635
RandomForest,0.0,0.582010582010582
RandomForest,0.0,0.5873015873015873
RandomForest,0.0,0.5978835978835979
RandomForest,0.0,0.6137566137566137
RandomForest,0.0,0.6216931216931217
RandomForest,0.0,0.6428571428571429
RandomForest,0.0,0.6507936507936508
RandomForest,0.0,0.6693121693121693
RandomForest,0.0,0.6772486772486772
RandomForest,0.0,0.6957671957671958
RandomForest,0.0,0.7063492063492064
RandomForest,0.0,0.7142857142857143
RandomForest,0.0,0.7354497354497355
RandomForest,0.0,0.7433862433862434
RandomForest,0.0,0.753968253968254
RandomForest,0.0,0.7566137566137566
RandomForest,0.0,0.7777777777777778
RandomForest,0.0,0.7857142857142857
RandomForest,0.0,0.791005291005291
RandomForest,0.0,0.8068783068783069
RandomForest,0.0,0.8121693121693122
RandomForest,0.0,0.8174603174603174
RandomForest,0.0,0.8227513227513228
RandomForest,0.0,0.8333333333333334
RandomForest,0.0012048192771084338,0.8333333333333334
RandomForest,0.0012048192771084338,0.8412698412698413
RandomForest,0.0012048192771084338,0.843915343915344
RandomForest,0.0024096385542168677,0.843915343915344
RandomForest,0.0024096385542168677,0.8492063492063492
RandomForest,0.0024096385542168677,0.8544973544973545
RandomForest,0.0024096385542168677,0.8624338624338624
RandomForest,0.0024096385542168677,0.8650793650793651
RandomForest,0.0024096385542168677,0.8703703703703703
RandomForest,0.0024096385542168677,0.8783068783068783
RandomForest,0.0036144578313253013,0.8835978835978836
RandomForest,0.0036144578313253013,0.9074074074074074
RandomForest,0.0036144578313253013,0.9206349206349206
RandomForest,0.0036144578313253013,0.9285714285714286
RandomForest,0.004819277108433735,0.9285714285714286
RandomForest,0.004819277108433735,0.9312169312169312
RandomForest,0.004819277108433735,0.9365079365079365
RandomForest,0.006024096385542169,0.9391534391534392
RandomForest,0.006024096385542169,0.9470899470899471
RandomForest,0.007228915662650603,0.9523809523809523
RandomForest,0.008433734939759036,0.955026455026455
RandomForest,0.008433734939759036,0.9708994708994709
RandomForest,0.00963855421686747,0.9735449735449735
RandomForest,0.012048192771084338,0.9735449735449735
RandomForest,0.012048192771084338,0.9761904761904762
RandomForest,0.01325301204819277,0.9761904761904762
RandomForest,0.01325301204819277,0.9814814814814815
RandomForest,0.01566265060240964,0.9814814814814815
RandomForest,0.01566265060240964,0.9841269841269841
RandomForest,0.02530120481927711,0.9841269841269841
RandomForest,0.02530120481927711,0.9867724867724867
RandomForest,0.02650602409638554,0.9867724867724867
RandomForest,0.02650602409638554,0.9894179894179894
RandomForest,0.03132530120481928,0.9894179894179894
RandomForest,0.033734939759036145,0.9894179894179894
RandomForest,0.03493975903614458,0.9894179894179894
RandomForest,0.03493975903614458,0.9920634920634921
RandomForest,0.03493975903614458,0.9973544973544973
RandomForest,0.03614457831325301,0.9973544973544973
RandomForest,0.03855421686746988,0.9973544973544973
RandomForest,0.03975903614457831,0.9973544973544973
RandomForest,0.04096385542168675,1.0
