experiment,model,best_params,training_time,prediction_time,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_ovr,cv_test_accuracy,cv_test_accuracy_std,cv_test_precision_macro,cv_test_precision_macro_std,cv_test_recall_macro,cv_test_recall_macro_std,cv_test_f1_macro,cv_test_f1_macro_std,cv_test_roc_auc_ovr,cv_test_roc_auc_ovr_std,model_type,balance_strategy,imbalance_ratio,class_distribution
class_balancing_study,SVM_balanced_ratio_0.3,{},38.8132438659668,2.1410655975341797,0.9851714550509731,0.9804213056680162,0.977710843373494,0.9790574900042701,,0.9840065814766918,0.0038101232277217654,0.9767767471543058,0.006783146715768049,0.9783461730685445,0.005314155962290948,0.977515047647598,0.005307811343604787,0.998377223850266,0.0009113437061438055,SVM,balanced,0.3,"Counter({np.int64(0): 3319, np.int64(1): 995})"
class_balancing_study,RandomForest_balanced_subsample_ratio_0.3,{},13.235312700271606,0.9169435501098633,0.9759036144578314,0.9711846027391834,0.9604417670682731,0.9656756227670924,,0.9790608849325946,0.002370236083614788,0.9727152567371381,0.003500171426210884,0.9680945885758486,0.004852696100949119,0.9703492891103064,0.0034045085528067436,0.9969252233472876,0.001070097845155666,RandomForest,balanced_subsample,0.3,"Counter({np.int64(0): 3319, np.int64(1): 995})"
class_balancing_study,RandomForest_no_balance_ratio_0.5,{},12.819817543029785,1.27420973777771,0.9911646586345382,0.9870892018779343,0.9933734939759036,0.990124811708029,,0.9827908619402232,0.002373262543380225,0.9791900069132378,0.002920354133186241,0.9823240881760104,0.003298321357022071,0.9807009943920186,0.0026678726040556293,0.9988399049230228,0.000404824072035054,RandomForest,no_balance,0.5,"Counter({np.int64(0): 3319, np.int64(1): 1659})"
class_balancing_study,SVM_no_balance_ratio_0.5,{},53.73395752906799,2.7126970291137695,0.993574297188755,0.9921932019601709,0.9933734939759036,0.9927797624570845,,0.9848000376716245,0.0030860920204453532,0.9828722827292632,0.0033808487886293373,0.9829757120007602,0.004239137443834426,0.9828970963271788,0.003486695632359292,0.9990912576308215,0.0003607470121271871,SVM,no_balance,0.5,"Counter({np.int64(0): 3319, np.int64(1): 1659})"
class_balancing_study,MultinomialNB_no_balance_ratio_0.5,{},13.042253017425537,1.2027842998504639,0.9389558232931727,0.9300685492239928,0.9331325301204819,0.9315708475321535,,0.9405376951692869,0.004958598566908721,0.9315584311994426,0.005643686751662997,0.9354115966721712,0.006043351714264993,0.933398584142166,0.005587787863028485,0.9827655071004564,0.003224440746299568,MultinomialNB,no_balance,0.5,"Counter({np.int64(0): 3319, np.int64(1): 1659})"
class_balancing_study,RandomForest_balanced_ratio_0.5,{},15.441800832748413,1.3004016876220703,0.9927710843373494,0.9904545454545455,0.9933734939759036,0.9918917452104854,,0.9828577290737491,0.0037139924417479444,0.9794248066115272,0.004664416941593385,0.9822231551734958,0.004197842983063804,0.9807723501959688,0.004148891450476502,0.9986281441542322,0.0007684655398719734,RandomForest,balanced,0.5,"Counter({np.int64(0): 3319, np.int64(1): 1659})"
class_balancing_study,SVM_balanced_ratio_0.5,{},55.340983390808105,2.7327706813812256,0.9943775100401606,0.9922510822510823,0.9951807228915663,0.9936935796081553,,0.9858708535986492,0.003123523256755608,0.9828447172415741,0.0042504673915477395,0.9855365600783564,0.0030292541206969163,0.9841525581745162,0.0034795947257632983,0.9991014177191794,0.00036539775396383646,SVM,balanced,0.5,"Counter({np.int64(0): 3319, np.int64(1): 1659})"
class_balancing_study,RandomForest_balanced_subsample_ratio_0.5,{},15.230636596679688,1.2385306358337402,0.9903614457831326,0.9869631240185675,0.9915662650602409,0.9892081342063139,,0.9825897896443396,0.0038240218287535063,0.9791282598170967,0.004470389860923728,0.981921419873147,0.00482708242751764,0.9804677618796539,0.0043004571605919535,0.9987851461703107,0.0004156010379336808,RandomForest,balanced_subsample,0.5,"Counter({np.int64(0): 3319, np.int64(1): 1659})"
class_balancing_study,RandomForest_no_balance_ratio_1.0,{},15.888198137283325,1.114372730255127,0.984271523178808,0.9813791610835447,0.9820711417096959,0.9817241211820079,,0.9798481711525191,0.0045022792078123,0.9763308526610724,0.005285183644457337,0.9768635244313175,0.005616484694023227,0.9765757707304318,0.0052421078282653185,0.9978365321906247,0.0009456124297178715,RandomForest,no_balance,1.0,"Counter({np.int64(0): 3319, np.int64(1): 1511})"
class_balancing_study,SVM_no_balance_ratio_1.0,{},51.80115532875061,2.745508909225464,0.9867549668874173,0.985983405788738,0.9831580289411614,0.9845540098199672,,0.9807453416149069,0.005054474375045011,0.9789703768910736,0.005125251997749865,0.9761917336721763,0.007226257179878518,0.9775279514948029,0.005964436910260266,0.9984465981542703,0.0006564156252677212,SVM,no_balance,1.0,"Counter({np.int64(0): 3319, np.int64(1): 1511})"
